countryiso3code,country_name,income_inequality_2010,income_inequality_2011,income_inequality_2012,income_inequality_2013,income_inequality_2014,income_inequality_2015,income_inequality_2016,income_inequality_2017,income_inequality_2018,income_inequality_2019,income_inequality_2020,income_inequality_2021,income_inequality_2022,income_inequality_2023,youth_unemployment_2010,youth_unemployment_2011,youth_unemployment_2012,youth_unemployment_2013,youth_unemployment_2014,youth_unemployment_2015,youth_unemployment_2016,youth_unemployment_2017,youth_unemployment_2018,youth_unemployment_2019,youth_unemployment_2020,youth_unemployment_2021,youth_unemployment_2022,youth_unemployment_2023,inflation_2010,inflation_2011,inflation_2012,inflation_2013,inflation_2014,inflation_2015,inflation_2016,inflation_2017,inflation_2018,inflation_2019,inflation_2020,inflation_2021,inflation_2022,inflation_2023
,High income,,,,,,,,,,,,,,,13.3735336617261,13.7410972425894,12.7440944499773,12.907269695326,12.3561421072327,11.8096404136437,11.4725507838941,10.6961796400007,10.3302315297865,10.2103347759588,13.2091268871501,12.0729176856455,11.107805619531,10.7953082603567,2.13371996141622,3.41374547661776,2.710119177355,1.50472330251876,1.04119621178439,0.330027165141066,0.394769306686392,1.58909413567799,1.88110801380597,1.61519988737213,0.598986330824643,2.51837109614213,7.35165155325364,4.83372362825798
,Low income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.18698335814119,7.2071027740057,6.70977471405566,5.61162933815824,3.74052951571967,4.37712665065654,5.70637504616212,8.15686323403371,2.79180778478365,2.83514555687506,4.4641443723286,5.13320340824963,9.62147608489064,7.11459205344455
,Lower middle income,,,,,,,,,,,,,,,27.3930574660694,,26.9916949485174,,,,,,28.675657749318,29.1282017810014,,27.0984282664726,22.585388242159,,4.84551875852116,6.38109582460691,5.98172132315561,5.49614445438981,5.16590237925171,3.39401538410559,3.52317317628473,3.73888388490667,4.17637722044472,3.39341969627973,4.92488537408932,4.31527983386854,7.65532722535377,7.24878668009591
,Upper middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.68901229670766,5.67533350732013,3.67591897974496,2.68385738718582,2.99864226125219,2.10438980238359,2.09056659525742,3.30828076768219,2.83014934367364,1.82991680777023,1.76751592356698,4.02852888157383,8.81109209279587,5.07719516250971
ABW,Aruba,,,,,,,,,,,,,,,16.56,,,,,,,,,,,,,,2.07814071860787,4.31629742195203,0.627471992893373,-2.37206524252261,0.421440918881214,0.474763597342641,-0.931195987079561,-1.02828178762012,3.62604141352961,4.25746204335428,,,,
AFE,Africa Eastern and Southern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.53753791645677,8.97120640995788,9.15870843167905,5.74883133553455,5.37028961008587,5.24587835022454,6.59650490696543,6.39934341569381,4.72080474200535,4.64496717329569,5.40516207933392,7.24097765588442,10.7737512242898,7.12697482131851
AFG,Afghanistan,,,,,,,,,,,,,,,,,,,35.058,,,42.84,,,53.764,43.769,,,2.17853752389419,11.8041858089129,6.44121280934117,7.38577178397855,4.67399603536345,-0.661709164713742,4.38389195513915,4.97595150553833,0.626149149168847,2.30237251516834,5.60188791482224,5.13320340824963,13.7121023720065,-4.64470870797775
AFW,Africa Western and Central,,,,,,,,,,,,,,,,,,,,,,,,31.479384563042,,,17.2404073601331,,1.78484420477113,4.01869907534491,4.57837463515948,2.43920076104127,1.76843582146219,2.13026806151515,1.48741550755546,1.72548602374731,1.78404994832039,1.98309228487232,2.49037783931949,3.74570045027359,7.77402737060521,5.30254809108531
AGO,Angola,,,,,,,,,51.3,,,,,,,10.009,,,30.622,,,,,23.064,,21.685,24.806,,14.4696564932577,13.4824679218511,10.2779049218839,8.77781429332624,7.28038730361121,9.35597215533784,30.6944150806719,29.8444799015679,19.6289379701521,17.080954143438,22.271539247051,25.7542948841891,21.3552901320822,13.6441017767715
ALB,Albania,,,29.0,,34.6,32.8,33.7,33.1,30.1,30.1,29.4,,,,29.72,30.011,27.654,30.978,31.392,29.816,27.391,26.228,26.614,25.824,26.943,24.085,23.714,23.16,3.62604695579816,3.42912324722163,2.03159268395301,1.93762080205229,1.6258650440261,1.89617402592365,1.2754316836741,1.98666133171199,2.02805963071136,1.41109078954246,1.62088661717011,2.04147163139549,6.72520271530048,4.75976421930107
ARB,Arab World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.91106195534028,4.7531638888563,4.6118443220664,3.25423910998847,2.77351613126123,1.84862742374977,2.6765917009819,2.17183298510006,2.45719835917883,1.09184802655856,1.61222220402456,2.96581008346286,5.08754200853911,3.64216403030709
ARE,United Arab Emirates,,,,32.5,,,,,26.4,,,,,,,,,,,,,,,,,10.717,9.985,8.917,0.877983288285867,0.87734659568512,0.662268900269009,1.1011183637571,2.34626865671643,4.06996608361593,1.61748808904198,1.96682557818842,3.06863379251997,-1.93108114782173,-2.07940317940944,0.179935336174431,5.29122604376849,1.62670837213248
ARG,Argentina,43.7,42.7,41.4,41.1,41.8,,42.3,41.4,41.7,43.3,42.7,42.4,40.7,42.4,19.459,18.405,18.406,19.07,19.675,,,19.246,19.023,19.228,22.328,16.118,15.872,15.028,,,,,,,,,,,,,,
ARM,Armenia,30.0,29.4,29.6,30.6,31.5,32.4,32.5,33.6,34.4,30.0,25.1,27.9,27.9,27.2,38.292,37.223,34.62,34.889,38.032,35.56,36.584,36.586,24.746,25.461,25.984,21.892,,,8.17636138473952,7.65000807859294,2.55802007757907,5.78966778544651,2.98130868933672,3.73169119261693,-1.403607559009,0.969553268816138,2.52023382001638,1.44344660770698,1.21143577838465,7.18483629443371,8.64091108973855,1.98041877615554
ATG,Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,20.78,,,,,,3.37002540220148,3.4567496723461,3.37688044338874,1.05949782356169,1.08944157435355,0.968993458825638,-0.489437796230499,2.43248789041363,1.20715793367008,1.43135598182984,0.625989707046719,2.06299638545334,7.53107834634288,5.06713865364213
AUS,Australia,34.7,,,,34.4,,33.7,,34.3,,,,,,11.32,10.59,9.91,11.02,10.09,9.8,8.69,8.94,9.419,9.361,10.706,9.27,8.389,7.913,2.91834002677376,3.3038501560874,1.76278015613196,2.4498886414254,2.48792270531404,1.50836672165921,1.27699094497324,1.94864740944527,1.91140094445691,1.61076787290379,0.846905537459305,2.86391042204994,6.59409671341846,5.5970149253731
AUT,Austria,30.3,30.8,30.5,30.8,30.5,30.5,30.8,29.7,30.8,30.2,29.8,30.7,30.9,,10.788,10.559,10.158,10.341,10.759,11.038,10.914,10.454,10.422,11.008,11.419,12.257,12.155,13.118,1.81353438995062,3.2865791487538,2.48567562177015,2.00015616900597,1.60581182954474,0.89656333526032,0.891591752655362,2.08126911385587,1.9983798142954,1.53089564152644,1.38191063351862,2.7666666666667,8.5468699318845,7.81413417002832
AZE,Azerbaijan,,,,,,,,,,,,,,,9.64,,,,,,,,,,,,,,5.72687224669605,7.8583333333334,1.06621339720303,2.41571745279419,1.37344181533176,4.02768573742726,12.4433748584372,12.9359184187335,2.26854690373999,2.61057182799215,2.75980947008127,6.65029912708779,13.8522590144267,8.78543049849081
