countryiso3code,country_name,income_inequality_2010,income_inequality_2011,income_inequality_2012,income_inequality_2013,income_inequality_2014,income_inequality_2015,income_inequality_2016,income_inequality_2017,income_inequality_2018,income_inequality_2019,income_inequality_2020,income_inequality_2021,income_inequality_2022,income_inequality_2023,youth_unemployment_2010,youth_unemployment_2011,youth_unemployment_2012,youth_unemployment_2013,youth_unemployment_2014,youth_unemployment_2015,youth_unemployment_2016,youth_unemployment_2017,youth_unemployment_2018,youth_unemployment_2019,youth_unemployment_2020,youth_unemployment_2021,youth_unemployment_2022,youth_unemployment_2023,inflation_2010,inflation_2011,inflation_2012,inflation_2013,inflation_2014,inflation_2015,inflation_2016,inflation_2017,inflation_2018,inflation_2019,inflation_2020,inflation_2021,inflation_2022,inflation_2023
,High income,,,,,,,,,,,,,,,13.3734880107045,13.7412487551271,12.743924562326,12.9074065798157,12.354012389961,11.8402118668564,11.4710622685997,10.6962533778202,10.3236042856441,10.2054203162047,13.2508967581541,12.0872553839412,11.1411851781401,10.8010458227791,,,,,,,,,,,,,,
,Lower middle income,,,,,,,,,,,,,,,27.4174615955872,,27.00151551978,,,,,,28.6349550208128,28.3002466020514,29.6861263966734,27.1681981095719,22.7396630692941,20.5666791060847,,,,,,,,,,,,,,
ABW,Aruba,,,,,,,,,,,,,,,16.56,,,,,,,,,,,,,,2.07814071860786,4.31629742195203,0.627471992893372,-2.37206524252261,0.421440918881214,0.474763597342641,-0.93119598707956,-1.02828178762012,3.6260414135296,4.25746204335427,,,,
AFE,Africa Eastern and Southern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.53753791645676,8.97120640995788,9.15870843167905,5.74883133553454,5.52581923392517,5.09856164363687,6.44687722255584,6.22137528933118,4.6898064677633,4.10285075461156,5.19162942092851,6.82472709282067,10.8834775726018,7.39918558080627
AFG,Afghanistan,,,,,,,,,,,,,,,,,,,35.058,,,42.84,,,53.764,43.769,,,2.17853752389418,11.8041858089129,6.44121280934117,7.38577178397855,4.67399603536344,-0.661709164713741,4.38389195513914,4.97595150553832,0.626149149168846,2.30237251516833,5.60188791482224,5.13320340824962,13.7121023720064,-4.64470870797774
AFW,Africa Western and Central,,,,,,,,,,,,,,,,,,,,,,,,25.9912681491918,,,18.7018718827513,,1.78484420477113,4.01869907534491,4.57837463515948,2.43920076104126,1.76843582146223,2.13081738058791,1.48741550755546,1.72548602374731,1.78404994832044,1.98309228487232,2.49037783931949,3.74556782333009,7.94925144848567,5.22116801324002
AGO,Angola,,,,,,,,,51.3,,,,,,,10.009,,,30.622,,,,,22.922,27.286,28.126,24.766,21.383,14.4696564932576,13.4824679218511,10.2779049218839,8.77781429332623,7.2803873036112,9.35597215533783,30.6944150806719,29.8444799015679,19.628937970152,17.080954143438,22.2715392470509,25.754294884189,21.3552901320822,13.6441017767714
ALB,Albania,,,29.0,,34.6,32.8,33.7,33.1,30.1,30.1,29.4,,,,29.72,30.011,27.654,30.977,31.392,29.816,27.391,26.227,26.614,25.824,26.943,24.084,23.714,23.16,3.62710091517479,3.42807130141501,2.03159268395296,1.93762080205223,1.62586504402613,1.89617402592356,1.27543168367423,1.98666133171194,2.02805963071134,1.41109078954242,1.6208866171702,2.04147163139544,6.72520271530059,4.75834555150038
ARE,United Arab Emirates,,,,32.5,,,,,26.4,,,,,,,,,,,,,,,,,,,8.917,0.877983288285867,0.87734659568512,0.662268900269008,1.1011183637571,2.34626865671642,4.06996608361593,1.61748808904197,1.96682557818842,3.06863379251996,-1.93108114782172,-2.07940317940943,0.179935336174431,5.29122604376849,1.62670837213248
ARG,Argentina,43.7,42.7,41.4,41.1,41.8,,42.3,41.4,41.7,43.3,42.7,42.4,40.7,42.4,19.459,18.405,18.406,19.07,19.675,,,19.246,19.023,19.228,22.328,16.118,15.872,15.028,,,,,,,,,34.2772237131003,53.5483043492339,42.0150947376509,48.4093786255199,72.430757531824,133.488935594175
ARM,Armenia,30.0,29.4,29.6,30.6,31.5,32.4,32.5,33.6,34.4,30.0,25.1,27.9,27.9,27.2,38.292,37.223,34.62,34.889,38.032,35.56,36.584,36.586,24.746,25.461,25.984,21.892,24.533,20.177,8.17636138473951,7.65000807859294,2.55802007757907,5.7896677854465,2.98130868933672,3.73169119261693,-1.40360755900899,0.969553268816137,2.52023382001637,1.44344660770698,1.21143577838464,7.1848362944337,8.64091108973854,1.98041877615553
ATG,Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,20.78,,,,,,3.37002540220147,3.4567496723461,3.37688044338874,1.05949782356169,1.08944157435355,0.968993458825638,-0.489437796230498,2.43248789041362,1.20715793367007,1.43135598182983,0.625989707046719,2.06299638545334,7.53107834634288,5.06713865364212
AUS,Australia,34.7,,,,34.4,,33.7,,34.3,,33.8,,,,11.32,10.59,9.91,11.02,10.09,9.8,8.69,8.96,9.419,9.361,10.706,9.27,8.389,7.913,2.9183370211222,3.30384784681081,1.76278299052228,2.44988248109259,2.48792932080492,1.50836803138463,1.27699365720306,1.94864309065653,1.91140002818579,1.610770929127,0.846900734607273,2.86391284709318,6.59409658717841,5.59701792296707
AUT,Austria,30.3,30.8,30.5,30.8,30.5,30.5,30.8,29.7,30.8,30.2,29.8,30.7,30.9,31.2,10.788,10.559,10.158,10.341,10.758,11.038,10.914,10.454,10.422,11.008,11.419,12.257,12.155,13.118,1.81353438995061,3.2865791487538,2.48567562177014,2.00015616900597,1.60581182954473,0.896563335260319,0.891591752655362,2.08126911385586,1.99837981429548,1.53089564152643,1.38191063351853,2.7666666666667,8.54686993188457,7.81413417002831
AZE,Azerbaijan,,,,,,,,,,,,,,,9.64,,,,,,,,,,,,,,5.72687224669605,7.8583333333334,1.06621339720302,2.41571745279419,1.37344181533176,4.02768573742725,12.4433748584372,12.9359184187334,2.26854690373999,2.61057182799215,2.75980947008127,6.65029912708778,13.8522590144267,8.7854304984908
BDI,Burundi,,,,38.6,,,,,,,37.5,,,,,,,,5.066,,,6.19,,,11.167,,,,6.49326591473993,9.5921660597967,18.161045306545,7.93795807492417,4.40535234185293,5.54468891259779,5.55768961400965,16.0525353030391,-2.81469807668465,-0.686772170797358,7.3211064341552,8.4045384507634,18.8008786664944,26.9414835762453
BEL,Belgium,28.4,28.1,27.5,27.7,28.1,27.7,27.6,27.4,27.2,27.2,26.0,26.6,26.4,26.8,10.865,11.814,12.345,12.68,12.045,12.182,9.886,9.855,9.801,9.25,9.994,6.654,7.107,6.765,2.18929920422458,3.5320821072274,2.83966343445899,1.11309594027539,0.340002833356921,0.561429152790157,1.97385264653162,2.12597086002616,2.05316499865177,1.43681956996438,0.740791812220343,2.44024851144084,9.597511728725,4.04901077613941
BEN,Benin,,43.4,,,,47.6,,,37.9,,,34.4,,,,17.234,,24.525,,,,,,15.863,,,14.241,,2.20783532536523,2.7042390774728,6.74468253340712,0.428888888888883,-0.54875755094818,0.218785923536245,-0.793310145785624,0.0432648555103608,0.919170717886053,0.732849371241066,3.02272119663759,1.73353962694035,1.35077863583527,2.73870078406074
BFA,Burkina Faso,,,,,35.3,,,,43.0,,,37.4,,,,,,,,,,,41.004,13.358,,,18.528,34.25,-0.764230734676768,2.75976724854534,3.8181524025238,0.533738507090536,-0.258089517535291,0.724838981070516,0.441041448058809,1.48299897161325,1.95594302672532,-3.23338933983321,1.88470066518847,3.65326761825508,14.2902354303358,0.742910428668917
BGD,Bangladesh,32.1,,,,,,32.4,,,,,,30.9,,30.06,43.649,,32.041,,,28.88,27.386,,,,,14.958,14.338,8.12667639169917,11.3951651552399,6.21750422069283,7.53040640913172,6.99163889220848,6.19428022984983,5.51352572692995,5.70207015717238,5.54362139486476,5.59199639930629,5.69107474746211,5.54565430773473,7.69695437176898,9.8835030377921
BGR,Bulgaria,35.7,34.3,36.0,36.6,37.4,38.6,40.6,40.4,41.3,40.3,40.5,39.0,38.2,39.5,21.145,22.4,21.592,20.954,20.194,18.474,18.198,15.848,13.844,13.546,14.706,13.568,12.55,11.152,2.43899060504117,4.21990346601872,2.95456829831012,0.890093540913096,-1.41818380264839,-0.104633261008479,-0.798649886453617,2.06159619443141,2.81454473824838,3.10372944796771,1.67244096855756,3.29774435299506,15.3252589264367,9.44284140088564
BHR,Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.96188468334623,-0.40004069748808,2.75739669962979,3.30001156888442,2.64755321246188,1.84862742374976,2.78679347602044,1.38671830576406,2.08766938046978,1.00582004702136,-2.31770629331378,-0.60631938514085,3.62574104304482,0.0746206782192255
BHS,"Bahamas, The",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.34402738392835,3.1987814166032,1.97336755976254,0.722414784530551,1.51375643050831,1.86148302863371,-0.346376929989396,1.51820700736147,2.26586346678735,2.49123527368045,0.0385210980054557,2.90491262928478,5.60540633583043,3.05291578969742
BIH,Bosnia and Herzegovina,,33.3,,,,32.9,,,,,,30.3,,,28.728,28.304,28.923,26.634,27.097,28.348,27.09,25.506,22.605,22.598,21.805,19.302,17.623,15.98,1.99621236745886,3.67125,2.05267452001717,-0.0930456838317588,-0.897194054194333,-1.03602303425474,-1.58410000000001,0.810133321953038,1.41710814018033,0.56278215406123,-1.05129600763489,1.98163900587622,14.0208440826771,6.1059011284828
BLR,Belarus,28.6,27.2,26.5,26.6,27.2,25.6,25.3,25.4,25.2,25.3,24.4,,,,,,,,,,8.052,7.111,6.203,6.897,6.79,5.476,5.149,,7.735748043125,53.2286983118174,59.2197360232518,18.3122610377873,18.1195543526734,13.5344897649734,11.8365807653496,6.03183725177785,4.87230220550689,5.59815595039853,5.5481435745651,9.46028389623105,15.2096752740809,5.00059903091312
BLZ,Belize,,,,,,,,,39.9,,,,,,,,11.954,27.928,27.785,27.679,27.378,27.378,24.714,24.884,,,,,0.917977378808887,1.602056156402,1.30058074547858,0.50974776898322,1.20139964481057,-0.861584009427747,0.663427167917601,1.14765339305816,0.269982622646335,0.187069385181424,0.121434644614893,3.2356365923707,6.27689319447543,4.38984017487674
BMU,Bermuda,,,,,,,,,,,,,,,6.79,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOL,Bolivia,,46.1,46.6,47.6,47.8,46.7,45.2,44.6,42.6,41.6,43.6,40.9,41.2,42.1,,10.854,10.414,10.45,11.158,14.561,10.791,11.577,10.834,11.606,13.702,10.976,9.969,9.597,2.5032760584424,9.88446419823883,4.51560291399375,5.73640023719606,5.76660074579143,4.05961041135644,3.62321431764138,2.8227580554717,2.27205987230154,1.83954504969025,0.940742153381849,0.737383721452274,1.74632872945968,2.57688800489192
BRA,Brazil,,52.9,53.4,52.7,52.1,51.9,53.4,53.3,53.9,53.5,48.8,52.9,51.9,51.5,,19.397,20.536,20.902,20.686,22.103,23.803,24.866,24.605,23.986,25.991,23.377,20.975,20.621,5.03872690108074,6.6364496221309,5.40349914036997,6.204310666401,6.32904015516138,9.02990102416136,8.73914352329393,3.44637335032669,3.66485028376728,3.73297621216893,3.21176803803376,8.30165975585673,9.28010608956872,4.59356282283203
BRB,Barbados,,,,,,,34.1,,,,,,,,,,,,,,28.993,,,,,,,,5.82421853311866,9.4322024017722,4.53334753888774,1.81410436049096,1.76950322089728,-1.11278992510958,1.28192813061895,4.66018463955995,3.1060057242059,1.67662473276987,,,,3.18718905472631
BRN,Brunei Darussalam,,,,,,,,,,,,,,,,,,,17.111,,,19.966,20.716,20.092,21.433,18.679,20.004,16.524,0.35686913201756,0.13791156316954,0.111766261400306,0.389205053123632,-0.207108731719822,-0.488347420743522,-0.278693265753083,-1.2605056462896,1.02505179290212,-0.390522069165529,1.94031996607183,1.73341388450593,3.68225030604215,0.35706431153689
BTN,Bhutan,,,38.8,,,,,37.4,,,,,28.5,,,,,,,,,,15.188,10.405,11.968,9.563,18.624,19.723,7.03638316073018,8.848985699468,10.919656944683,8.77638345268212,8.27106093949327,4.54814395082205,3.21988689395717,4.95508366985129,2.72396386183713,2.72643037388832,5.62936522632507,7.3468144053353,5.6391667139637,4.22934419929251
BWA,Botswana,,,,,,54.9,,,,,,,,,,,,,,,,,,31.985,37.144,35.168,37.003,37.581,6.94887658743103,8.45987233408583,7.53690261091916,5.88460707056816,4.40225309243427,3.06203169580557,2.81495791361943,3.30828076768219,3.23801558947715,2.7728644286332,1.8903591682421,7.24097765588442,11.665567478802,5.06761549343829
CAF,Central African Republic,,,,,,,,,,,,43.0,,,,,,,,,,,,,,,,,1.49102370047802,1.1944757244985,5.47829594346117,6.98879341970198,14.8986841797549,1.40297017136816,4.94543276106518,4.18072331871266,1.61215686991555,2.68537355266786,1.71015659523152,4.25936417542868,5.58316735183246,2.97913852618936
CAN,Canada,33.6,32.7,33.5,33.8,33.2,33.7,32.7,33.3,32.5,31.8,29.9,31.1,31.5,,13.697,13.192,13.252,12.914,13.55,13.272,12.889,12.072,12.211,12.043,17.865,12.815,11.599,11.735,1.77687154092627,2.91213508872351,1.51567823124516,0.938291897815316,1.90663590717861,1.12524136094277,1.42875954701085,1.59688412852976,2.26822567248103,1.94926902411592,0.716999632307827,3.39519318527527,6.80280115341612,3.87900159788425
CEB,Central Europe and the Baltics,,,,,,,,,,,,,,,13.8529650510098,14.2737602107031,14.4061661137891,14.7432438274824,14.1978132651415,13.2056597502077,12.687547662384,11.5989560082014,10.7605887258187,10.6277509099596,11.1862969084758,12.5788243352122,11.5796951075358,11.067332928549,,,,,,,,,,,,,,
CHE,Switzerland,32.6,31.7,31.6,32.5,32.5,32.3,33.0,32.7,33.1,34.0,33.7,33.8,33.8,,8.452,7.906,8.799,9.585,9.108,9.351,8.672,8.133,7.925,7.707,8.621,9.578,9.314,6.611,0.688238707219974,0.2313492076509,-0.692552018105163,-0.217323155115672,-0.0132025387515945,-1.14390867228178,-0.434618664285814,0.533787839825876,0.936335464113572,0.362886179940674,-0.725874933313402,0.581814168489855,2.83502798644451,2.13540088016386
CHL,Chile,,46.9,,46.8,,45.3,,45.3,,,47.0,,43.2,,19.536,19.176,18.046,18.413,18.96,19.198,17.502,18.277,,,19.222,15.335,14.42,15.321,1.4107110795432,3.34121694259302,3.00744840213047,1.7895555398459,4.71867527854671,4.34877353217044,3.78619355893118,2.18271846868519,2.43488981353057,2.55754475703326,3.04549084804326,4.52456838259143,11.6438667110559,7.58168251407962
CHN,China,43.7,42.4,42.2,39.7,39.2,38.6,38.5,39.1,38.5,38.2,37.1,35.7,36.0,,,,,,,,,,,,,,,,3.17532475269199,5.55389892257493,2.6195243264554,2.62105001748114,1.9216416278852,1.43702380935654,2.00000182191943,1.59313600071435,2.07479039965576,2.89923416358226,2.41942189457782,0.981015135544881,1.9735755573905,0.23483682889305
CIV,Cote d'Ivoire,,,,,,41.5,,,37.2,,,35.3,,,,,22.756,17.511,,,25.759,34.827,,21.917,,,18.834,,1.22645612135479,4.9124339505245,1.30451119915606,2.58117037252935,0.448682076766141,1.25149954781467,0.723178457513308,0.685881065304603,0.401297817263547,0.79085551205366,2.41252617189052,4.15919657911797,5.23352856100842,4.36972254867474
CMR,Cameroon,,,,,46.6,,,,,,,42.2,,,10.79,,,,17.015,,,,,,,23.223,,,1.27538046242338,2.93969946305091,2.73529677529539,2.0503471800174,1.85489850366776,2.67623531419899,0.874190383288856,0.64040914988195,1.0688581131292,2.45280214062732,2.43760882182236,2.27185762503637,6.24767713343861,7.38281384280983
COD,"Congo, Dem. Rep.",,,42.1,,,,,,,,44.7,,,,,,21.36,,,,,,,,31.372,,,,7.10000000000037,15.316515913949,9.72182806273364,0.80822310148711,1.24303889760802,0.74419899478147,2.88585107289988,,,,,,,
COG,"Congo, Rep.",,48.9,,,,,,,,,,,,,,,,,,,,,,,,,,,0.391525011227612,1.75958704273803,5.01018773134471,4.63161619729461,0.912139545450097,3.16909796750829,3.19056179723773,0.450063823285546,1.15277896375523,2.20607305781525,1.79537147083107,1.7156427545126,3.04344334698477,4.30174563591016
COL,Colombia,54.4,53.3,53.6,53.5,53.6,52.0,51.7,50.9,51.6,52.5,54.4,55.1,54.8,54.6,23.437,23.026,22.532,22.084,21.402,21.141,21.131,21.837,22.841,23.917,,27.264,24.423,23.251,2.27200227892008,3.4150334477625,3.16930188840055,2.01699224310383,2.89883787761737,4.98983115849529,7.51346024627674,4.3143132569501,3.24056932930569,3.52301932741446,2.52663500084706,3.49505757399448,10.1772313546166,11.7359044948689
COM,Comoros,,,,,45.3,,,,,,34.2,,,,,,,,27.584,,,,,,,21.168,,,3.35475770328919,1.8426630075619,6.31474450315177,-4.29487331536756,7.54755379096711,-0.117173884190069,0.797517430888487,-0.237362224154613,2.15155084413033,3.58213544469211,0.786641929499151,-0.00441793682346988,12.5320314570998,8.37373955490995
