countryiso3code,country_name,income_inequality_2010,income_inequality_2011,income_inequality_2012,income_inequality_2013,income_inequality_2014,income_inequality_2015,income_inequality_2016,income_inequality_2017,income_inequality_2018,income_inequality_2019,income_inequality_2020,income_inequality_2021,income_inequality_2022,income_inequality_2023,youth_unemployment_2010,youth_unemployment_2011,youth_unemployment_2012,youth_unemployment_2013,youth_unemployment_2014,youth_unemployment_2015,youth_unemployment_2016,youth_unemployment_2017,youth_unemployment_2018,youth_unemployment_2019,youth_unemployment_2020,youth_unemployment_2021,youth_unemployment_2022,youth_unemployment_2023,inflation_2010,inflation_2011,inflation_2012,inflation_2013,inflation_2014,inflation_2015,inflation_2016,inflation_2017,inflation_2018,inflation_2019,inflation_2020,inflation_2021,inflation_2022,inflation_2023
CPV,Cabo Verde,,,,,,42.4,,,,,,,,,,,,,,,,31.4,30.25,27.99,,,,,2.07866470906423,4.47388342165023,2.54039644167108,1.50654285701407,-0.238778144990623,0.131187999024544,-1.40781637091705,0.784415251101334,1.25615185860785,1.10750930553819,0.6057961856899,1.86215256793885,7.93092928079189,3.72437535861454
CRI,Costa Rica,48.0,48.8,48.4,49.2,48.6,48.4,48.7,48.3,48.0,48.2,49.2,48.7,47.2,46.7,19.087,21.144,17.571,17.966,18.306,18.648,20.447,19.96,18.678,17.582,19.946,18.991,17.181,20.883,5.66275708420021,4.87799830970702,4.49545314354605,5.23133614174428,4.51920098516953,0.801982005099623,-0.0174788505908217,1.62590692991731,2.2211146152658,2.09604635327807,0.724911478131375,1.72647755109241,8.27477490232654,0.525193508693455
CUW,Curacao,,,,,,,,,,,,,,,,,,,,,,,5.06,,17.46,,,,2.77944261312586,2.3325315256217,3.18398746349454,1.33232086152117,1.49873969616429,-0.476542049801404,-0.0472079848940292,1.58558801700344,2.58368756641813,2.62220783425058,,,,
CYM,Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.276140861750108,1.32543575779664,1.18894845245607,2.1606114681339,1.27397911533387,-2.34752770165615,-0.62525835861814,,,,,,,
CYP,Cyprus,31.5,32.6,34.3,37.0,35.6,34.0,32.9,31.4,32.7,31.2,31.7,31.3,31.5,31.8,11.683,14.643,15.977,18.668,17.008,15.301,16.02,16.094,13.21,13.659,14.357,13.774,14.721,13.644,2.43004084102254,3.28944939564211,2.38905410042316,-0.399357676464425,-1.35498885446314,-2.0969976905311,-1.42916666666665,0.531766496174467,1.43549119531759,0.250370996758493,-0.638422797978958,2.44608867175474,8.39548297993334,3.54134188751663
CZE,Czechia,26.6,26.4,26.1,26.5,25.9,25.9,25.4,24.9,25.0,25.3,26.2,26.2,25.9,25.7,9.044,8.719,9.23,9.453,8.416,7.718,7.149,6.405,5.738,5.824,6.682,6.61,7.58,7.034,1.47272727272728,1.9172191363555,3.28762306610411,1.4382978723404,0.343988589646793,0.309364548494975,0.683504209385702,2.4505339846014,2.14949494949492,2.84787595918041,3.1612952849781,3.83984491500146,15.100165146837,10.6612601372427
DEU,Germany,30.2,30.4,30.9,31.4,30.8,31.4,31.3,31.3,31.9,32.2,32.5,33.6,33.7,,8.451,8.156,7.231,6.41,6.365,6.239,6.701,6.266,6.011,5.607,7.295,7.717,7.096,7.678,1.1038103778926,2.07517283735874,2.00848884782956,1.50472330251876,0.906794000434245,0.514426137125456,0.491747008445174,1.50949485109628,1.73216879766941,1.44565976888253,0.144877925813981,3.06666666666673,6.87257438551096,5.94643667725823
DJI,Djibouti,,,45.1,44.1,,,,41.6,,,,,,,,,,,,,,51.027,,,,,,,3.95007875923886,5.0687139477798,3.73120950756887,-12.563149225034,1.34186494340162,-0.522166521445793,2.40252905434889,0.57728572456066,0.138836400011405,3.31763203299602,1.77900535643955,1.18086783934059,5.17222088647605,1.44905087029085
DMA,Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.99936630549,1.1312313652648,1.35677147808859,-0.0464116468805991,0.799250372687492,-0.843826984638329,0.141816225732312,0.296252889279486,0.989191119189889,1.50462353858141,1.22026442242476,2.22891330700343,2.88490226829353,5.08677483158111
DNK,Denmark,27.2,27.3,27.8,28.5,28.4,28.2,28.2,28.7,28.2,27.7,27.5,28.3,29.3,29.9,6.857,7.186,7.346,6.633,6.394,7.032,6.72,7.582,7.683,7.722,7.464,7.111,6.766,7.155,2.31092436974786,2.7586822605125,2.3979148566464,0.789071780078062,0.56402054044954,0.452034153691574,0.250000000000031,1.14713216957601,0.813609467455631,0.75813157251162,0.420711974110024,1.85304543989689,7.69656699889259,3.30517811237605
DOM,Dominican Republic,47.3,47.7,46.1,47.7,44.3,45.2,45.7,42.2,43.7,41.9,39.6,38.5,37.0,38.4,21.006,20.085,20.349,20.964,19.649,25.232,25.374,24.336,24.5,24.727,37.702,27.333,26.61,25.678,6.32993220146146,5.79676809206533,3.69449707884776,4.830950967408,2.99864226125218,0.836746346724556,1.61416607245222,3.27955694678546,3.56443426013507,1.81060377042959,3.78103179915516,8.24300347981809,8.81109209279587,4.78561281021135
DZA,Algeria,,27.6,,,,,,,,,,,,,24.53,26.0,22.7,21.5,22.8,21.2,,20.95,,,,,,,3.91106195534028,4.5242115050527,8.89145091062317,3.25423910998847,2.91692692067458,4.78444700693889,6.39769480268756,5.59111590961663,4.26999020467083,1.95176821052891,2.41513094083413,7.22606307415477,9.26551551551552,9.32217375928322
EAR,Early-demographic dividend,,,,,,,,,,,,,,,28.1434300213812,,26.8320367367017,,,,,,27.7390616638768,27.5753695688594,29.3020911041131,26.1898448916038,23.7258138343722,21.8167904652246,,,,,,,,,,,,,,
ECA,Europe & Central Asia (excluding high income),,,,,,,,,,,,,,,,,,,22.287451582483,21.3533890479405,22.1702915587057,21.8426354219471,,,,,,,,,,,,,,,,,,,,
ECS,Europe & Central Asia,,,,,,,,,,,,,,,16.2866177489881,15.9037380931145,15.9472732311447,15.72821757188,15.2945556988154,14.7173337340764,14.9401298228001,14.4279356908596,13.9545054555004,13.9701519813362,15.029392309499,13.9864835568555,12.6858593676921,12.1051680556045,,,,,,,,,,,,,,
ECU,Ecuador,48.8,45.9,46.1,46.9,45.0,46.0,45.0,44.7,45.4,45.7,47.3,45.8,45.5,44.6,15.66,16.433,16.554,17.357,20.234,19.811,18.44,17.56,17.67,17.516,,18.497,17.99,18.634,3.55437734567842,4.4745326579584,5.10172180958665,2.72177577710371,3.58922016616663,3.96664623255357,1.72826463324532,0.417335588666824,-0.224103246005552,0.266012515466155,-0.338872392562139,0.133251386096389,3.46616972213076,2.21568764237058
EGY,"Egypt, Arab Rep.",30.2,,28.3,,,31.8,,31.5,,31.9,,28.5,,,33.084,32.099,31.553,28.396,26.28,27.605,27.61,26.903,27.095,27.959,30.156,28.743,26.92,24.567,11.2651882653185,10.0649259874818,7.11172943343082,9.4697198106492,10.0702154687481,10.370490343517,13.8136062148289,29.5066083940038,14.4014657807421,9.15279959324803,5.04493288977538,5.21404940513042,13.8956609775177,33.8847763115546
EMU,Euro area,,,,,,,,,,,,,,,12.8756905136342,12.9643335113379,13.1379420935714,13.4948818411383,13.0626747489272,12.6422482581278,12.1666183373739,11.6533020163518,11.1396222338622,10.6802923851317,11.7368608143381,11.0800984841138,9.97017076359883,9.72627600096376,,,,,,,,,,,,,,
ESP,Spain,35.2,35.7,35.4,36.2,36.1,36.2,35.8,34.7,34.7,34.3,34.9,33.9,33.6,33.4,17.132,17.582,16.836,17.903,15.748,14.603,13.793,12.151,11.841,11.584,13.682,11.688,9.221,9.3,1.79986457728768,3.1961018883379,2.44612782366808,1.40858109183018,-0.151114837527234,-0.500365709903242,-0.202598000426452,1.95607633363963,1.6749813686379,0.699518994458738,-0.322753017299739,3.09313511976419,8.39057634118626,3.53236133492432
EST,Estonia,32.0,32.5,32.9,35.1,34.6,32.7,31.2,30.4,30.3,30.8,30.7,31.8,32.3,30.7,14.026,11.568,12.2,11.319,11.749,11.482,9.568,10.026,10.348,7.859,9.204,10.921,10.735,9.595,2.97204512015693,4.9819013145361,3.93339987296985,2.78056658954987,-0.106175146521709,-0.49232600654737,0.148684907627372,3.41723549488054,3.43632688420446,2.27725931243522,-0.444531097679829,4.65316673847472,19.3982634080616,9.15922507983982
ETH,Ethiopia,33.2,,,,,35.0,,,,,,31.1,,,,,,10.482,,,,,,,,17.529,,,8.14926402965082,33.2499598823344,23.600417677317,7.46402192944517,6.89001951597191,9.56889955968623,6.62813337230924,10.6871150284238,13.8330356586661,15.8096321719344,20.3563468559061,26.8395221557722,33.8898797100898,30.2188278135278
EUU,European Union,,,,,,,,,,,,,,,12.8734703732072,13.0704133353554,13.2278434021131,13.5366895494001,13.0766466870807,12.5317938647084,12.0672364424437,11.4474376505681,10.9239672102564,10.5294881983729,11.4769054618122,11.2025696835793,10.1407714930687,9.86657262131849,,,,,,,,,,,,,,
FIN,Finland,27.7,27.6,27.1,27.2,26.8,27.1,27.1,27.4,27.3,27.7,27.1,27.7,27.9,27.4,8.651,8.398,7.713,9.406,9.857,10.59,9.238,8.888,7.746,7.386,9.365,8.492,8.068,8.841,1.18413523154646,3.41680754255211,2.80833622561573,1.47828615688809,1.04119621178439,-0.207928839905268,0.356684500891695,0.754015047084346,1.08382098409305,1.0240939296343,0.290554555653239,2.19457432340007,7.12350773301402,6.25064322154762
FJI,Fiji,,,,36.7,,,,,,30.7,,,,,,18.404,,,19.09,,20.086,,,,,,,,3.6890122967076,7.278117827085,3.42337523401979,2.91354193603992,0.519306474579106,1.37488542621446,3.86322538221277,3.34757834757831,4.08147637644542,1.79388647514555,-1.70014167847317,1.53454853751591,6.07882431529724,2.97544080604538
FRA,France,33.7,33.3,33.1,32.5,32.3,32.7,31.9,31.6,32.4,31.2,30.7,31.5,31.2,31.8,12.876,12.415,12.843,13.434,13.5,13.967,13.94,13.425,13.082,12.618,12.701,11.483,11.557,11.804,1.53112270420918,2.11159795175,1.95419531613509,0.863715497861804,0.507758822937989,0.0375143805125181,0.183334861123764,1.03228275064681,1.85081508315492,1.10825492288293,0.476498852725065,1.64233141038393,5.22236748369725,4.8783572650844
FSM,"Micronesia, Fed. Sts.",,,,40.1,,,,,,,,,,,,,,,28.673,,,,,,,,,,3.31370963136217,5.08259403890371,5.01850353045616,1.75232737350762,0.650284891767944,-0.2981158373807,-1.03746806405349,0.58225373525489,1.49840023593737,1.92385170787923,0.554594630853174,3.19128406597466,5.40874375479067,
GAB,Gabon,,,,,,,,38.0,,,,,,,,,,,,,,,,,,,,,1.46154402720469,1.26331707837421,2.65241828695626,0.505441058915615,4.69045751826284,-0.338795188753406,2.10670712784054,2.65192583143902,4.74906652083221,2.46456756151187,1.35276110675333,1.0869074651941,4.23124798274579,3.62901534185376
GBR,United Kingdom,33.7,33.2,33.1,32.7,33.1,33.3,33.1,32.6,33.7,32.8,32.7,32.4,,,16.189,16.565,16.193,15.399,13.992,12.895,12.692,12.261,12.333,12.335,12.607,11.41,11.809,12.802,2.49265472467065,3.8561124468282,2.5732347965453,2.29166666666659,1.45112016293279,0.36804684232536,1.0084173681141,2.55775577557747,2.29283990345938,1.73810460086513,0.989486703772491,2.51837109614213,7.92204883147902,6.79396706793963
